,strain,replicate,techRep,bioRep,drug,time,person,OD_24h,OD_48h,OD_72h,OD_72h_Mixed
A04105M,A04,10,C,one,0.5,5,M,0.6423,0.9867,1.0545,0.6111
A0810M,A08,1,A,one,0,0,M,1.4527,1.5086,1.5111,1.1186
A0820M,A08,2,A,one,0,0,M,1.447,1.4945,1.4991,1.0838
A0830M,A08,3,A,one,0,0,M,1.4512,1.4979,1.5008,1.0967
A0840M,A08,4,A,one,0,0,M,1.4482,1.4942,1.5045,1.0976
A0850M,A08,5,A,one,0,0,M,1.4532,1.4998,1.5055,1.0922
A0860M,A08,6,A,one,0,0,M,1.4553,1.4977,1.5033,1.0844
A0870M,A08,7,A,one,0,0,M,1.4577,1.5019,1.5106,1.0989
A0890M,A08,9,A,one,0,0,M,1.4462,1.4958,1.5018,1.0952
A08100M,A08,10,A,one,0,0,M,1.4257,1.4866,1.4923,1.1019
A08110M,A08,11,A,one,0,0,M,1.4501,1.5024,1.5067,1.0886
A08120M,A08,12,A,one,0,0,M,1.4319,1.4893,1.4967,1.0815
A0810M,A08,1,B,one,0,0,M,1.4641,1.4844,1.4958,1.0991
A0820M,A08,2,B,one,0,0,M,1.4562,1.4789,1.4953,1.0999
A0830M,A08,3,B,one,0,0,M,1.4604,1.4895,1.501,1.1173
A0840M,A08,4,B,one,0,0,M,1.4482,1.481,1.4987,1.1039
A0850M,A08,5,B,one,0,0,M,1.4593,1.491,1.5006,1.0999
A0860M,A08,6,B,one,0,0,M,1.4795,1.4969,1.5004,1.0916
A0870M,A08,7,B,one,0,0,M,1.4778,1.5015,1.5018,1.1037
A0890M,A08,9,B,one,0,0,M,1.4518,1.4873,1.4959,1.0978
A08100M,A08,10,B,one,0,0,M,1.4453,1.484,1.4988,1.1049
A08110M,A08,11,B,one,0,0,M,1.4554,1.4905,1.5051,1.0925
A08120M,A08,12,B,one,0,0,M,1.4437,1.4683,1.4846,1.0862
A0810M,A08,1,A,one,0.5,0,M,0.3017,0.6436,0.9653,0.7165
A0820M,A08,2,A,one,0.5,0,M,0.2655,0.4703,0.7102,0.593
A0830M,A08,3,A,one,0.5,0,M,0.5234,1.1128,1.2029,0.8078
A0840M,A08,4,A,one,0.5,0,M,0.3663,0.8257,1.0775,0.6793
A0850M,A08,5,A,one,0.5,0,M,0.2659,0.4976,0.747,0.4641
A0860M,A08,6,A,one,0.5,0,M,0.201,0.3438,0.441,0.2684
A0870M,A08,7,A,one,0.5,0,M,0.2076,0.3693,0.4837,0.4371
A0890M,A08,9,A,one,0.5,0,M,0.344,0.6822,0.956,0.7173
A08100M,A08,10,A,one,0.5,0,M,0.5131,0.9892,1.1379,0.8986
A08110M,A08,11,A,one,0.5,0,M,0.2916,0.5135,0.7486,0.4602
A08120M,A08,12,A,one,0.5,0,M,0.4078,0.8602,1.0896,0.743
A0810M,A08,1,B,one,0.5,0,M,0.2543,0.448,0.6515,0.553
A0820M,A08,2,B,one,0.5,0,M,0.238,0.4009,0.5339,0.5639
A0830M,A08,3,B,one,0.5,0,M,0.5234,0.8759,1.0663,0.8031
A0840M,A08,4,B,one,0.5,0,M,0.3837,0.7443,1.0295,0.6946
A0850M,A08,5,B,one,0.5,0,M,0.265,0.4569,0.6702,0.4324
A0860M,A08,6,B,one,0.5,0,M,0.2116,0.3449,0.468,0.313
A0870M,A08,7,B,one,0.5,0,M,0.2028,0.3336,0.427,0.4416
A0890M,A08,9,B,one,0.5,0,M,0.3351,0.5693,0.8273,0.666
A08100M,A08,10,B,one,0.5,0,M,0.5214,0.9232,1.0888,0.8887
A08110M,A08,11,B,one,0.5,0,M,0.2785,0.4444,0.6619,0.4761
A08120M,A08,12,B,one,0.5,0,M,0.4087,0.743,1.0186,0.7202
A0810M,A08,1,C,one,0.5,0,M,0.07,0.378,0.5151,0.4787
A0820M,A08,2,C,one,0.5,0,M,0.063,0.3656,0.4818,0.5189
A0830M,A08,3,C,one,0.5,0,M,0.3428,0.8553,1.0405,0.7899
A0840M,A08,4,C,one,0.5,0,M,0.1709,0.6431,0.9504,0.6311
A0850M,A08,5,C,one,0.5,0,M,0.0645,0.3742,0.5184,0.3637
A0860M,A08,6,C,one,0.5,0,M,0.0303,0.3209,0.4246,0.2472
A0870M,A08,7,C,one,0.5,0,M,0.028,0.3136,0.4008,0.4242
A0890M,A08,9,C,one,0.5,0,M,0.1442,0.5204,0.7472,0.5766
A08100M,A08,10,C,one,0.5,0,M,0.3838,1.0375,1.1125,0.9235
A08110M,A08,11,C,one,0.5,0,M,0.0948,0.4489,0.6611,0.4635
A08120M,A08,12,C,one,0.5,0,M,0.1744,0.6264,0.9013,0.6194
A1010M,A10,1,A,one,0,0,M,1.4078,1.4679,1.4661,1.0443
A1020M,A10,2,A,one,0,0,M,1.4239,1.471,1.4738,1.0465
A1030M,A10,3,A,one,0,0,M,1.4306,1.4788,1.4819,1.0407
A1040M,A10,4,A,one,0,0,M,1.4182,1.4698,1.4732,1.0457
A1050M,A10,5,A,one,0,0,M,1.4308,1.4792,1.4815,1.0365
A1060M,A10,6,A,one,0,0,M,1.4281,1.472,1.4755,1.042
A1070M,A10,7,A,one,0,0,M,1.4335,1.4794,1.4793,1.04
A1080M,A10,8,A,one,0,0,M,1.4309,1.4786,1.4811,1.0327
A1090M,A10,9,A,one,0,0,M,1.4305,1.4772,1.4787,1.0304
A10100M,A10,10,A,one,0,0,M,1.4319,1.4782,1.4784,1.0278
A10110M,A10,11,A,one,0,0,M,1.4231,1.4691,1.468,1.0325
A10120M,A10,12,A,one,0,0,M,1.4179,1.4651,1.4637,1.042
A1010M,A10,1,B,one,0,0,M,1.415,1.4351,1.4429,1.0629
A1020M,A10,2,B,one,0,0,M,1.4269,1.4511,1.4625,1.0555
A1030M,A10,3,B,one,0,0,M,1.4313,1.4592,1.4667,1.0481
A1040M,A10,4,B,one,0,0,M,1.4104,1.4379,1.4463,1.0578
A1050M,A10,5,B,one,0,0,M,1.4296,1.4591,1.4633,1.0569
A1060M,A10,6,B,one,0,0,M,1.4284,1.4424,1.4474,1.0562
A1070M,A10,7,B,one,0,0,M,1.4226,1.4404,1.4444,1.0581
A1080M,A10,8,B,one,0,0,M,1.4168,1.443,1.4499,1.0531
A1090M,A10,9,B,one,0,0,M,1.4278,1.4586,1.4651,1.0508
A10100M,A10,10,B,one,0,0,M,1.424,1.4493,1.4547,1.0422
A10110M,A10,11,B,one,0,0,M,1.3862,1.4163,1.4262,1.0425
A10120M,A10,12,B,one,0,0,M,1.4009,1.4221,1.4318,1.0458
A1010M,A10,1,A,one,0.5,0,M,0.8241,1.2052,1.2108,0.9996
A1020M,A10,2,A,one,0.5,0,M,0.6828,0.9879,1.144,0.9278
A1030M,A10,3,A,one,0.5,0,M,0.7518,1.1918,1.1999,0.9848
A1040M,A10,4,A,one,0.5,0,M,0.5282,1.029,1.121,0.9866
A1050M,A10,5,A,one,0.5,0,M,0.6886,1.1304,1.2271,0.9683
A1060M,A10,6,A,one,0.5,0,M,0.6677,1.0392,1.1446,0.9456
A1070M,A10,7,A,one,0.5,0,M,0.6478,1.0323,1.1437,0.9486
A1080M,A10,8,A,one,0.5,0,M,0.5564,0.9843,1.122,0.9783
A1090M,A10,9,A,one,0.5,0,M,0.7992,1.1799,1.2473,1.0036
A10100M,A10,10,A,one,0.5,0,M,0.6783,1.0792,1.1815,0.9687
A10110M,A10,11,A,one,0.5,0,M,0.8078,1.1745,1.2284,0.9817
A10120M,A10,12,A,one,0.5,0,M,0.6021,1.0257,1.1232,0.9852
A1010M,A10,1,B,one,0.5,0,M,0.8211,1.1537,1.1754,0.9499
A1020M,A10,2,B,one,0.5,0,M,0.7115,1.0871,1.1446,0.9665
A1030M,A10,3,B,one,0.5,0,M,0.7872,1.1615,1.2349,0.9845
A1040M,A10,4,B,one,0.5,0,M,0.5731,1.0133,1.1392,0.9688
A1050M,A10,5,B,one,0.5,0,M,0.746,1.1364,1.2234,0.9815
A1060M,A10,6,B,one,0.5,0,M,0.6684,1.0378,1.1194,0.9712
A1070M,A10,7,B,one,0.5,0,M,0.6475,1.0236,1.1194,0.9572
A1080M,A10,8,B,one,0.5,0,M,0.6278,1.0473,1.1534,0.9751
A1090M,A10,9,B,one,0.5,0,M,0.9015,1.2056,1.2589,0.9827
A10100M,A10,10,B,one,0.5,0,M,0.8535,1.1765,1.254,0.961
A10110M,A10,11,B,one,0.5,0,M,0.9014,1.2006,1.253,0.9657
A10120M,A10,12,B,one,0.5,0,M,0.6754,1.081,1.1786,0.9637
A1010M,A10,1,C,one,0.5,0,M,0.7084,1.0463,1.0906,0.9593
A1020M,A10,2,C,one,0.5,0,M,0.6475,1.0248,1.0787,0.9729
A1030M,A10,3,C,one,0.5,0,M,0.6471,1.0531,1.1246,0.9765
A1040M,A10,4,C,one,0.5,0,M,0.4157,0.8107,0.9567,0.9724
A1050M,A10,5,C,one,0.5,0,M,0.5608,0.989,1.0883,0.9783
A1060M,A10,6,C,one,0.5,0,M,0.5707,0.9647,1.0505,0.9685
A1070M,A10,7,C,one,0.5,0,M,0.5383,0.9439,1.0422,0.9475
A1080M,A10,8,C,one,0.5,0,M,0.4888,0.9177,1.0426,0.9802
A1090M,A10,9,C,one,0.5,0,M,0.6593,1.0514,1.1107,0.9652
A10100M,A10,10,C,one,0.5,0,M,0.5908,1.0369,1.1108,1.0262
A10110M,A10,11,C,one,0.5,0,M,0.6878,1.0575,1.1072,0.9436
A10120M,A10,12,C,one,0.5,0,M,0.4828,0.9104,1.0158,0.9588
A1015M,A10,1,A,one,0,5,M,1.4198,1.434,1.4486,1.1363
A1025M,A10,2,A,one,0,5,M,1.4886,1.4897,1.5019,1.1902
A1035M,A10,3,A,one,0,5,M,1.4782,1.4808,1.493,1.1549
A1045M,A10,4,A,one,0,5,M,1.4854,1.4928,1.4992,1.1439
A1055M,A10,5,A,one,0,5,M,1.4169,1.4267,1.4302,1.0531
A1065M,A10,6,A,one,0,5,M,1.4372,1.4455,1.4458,1.08
A1085M,A10,8,A,one,0,5,M,1.4732,1.4816,1.4894,1.1441
A1095M,A10,9,A,one,0,5,M,1.4821,1.4972,1.498,1.1886
